recall_images_list,PROLIFIC_PID,condition,2490_neg,2250_pos,9001_neg,7090_neut,7130_neut,7150_neut,7233_neut,1463_pos,5660_pos,7350_pos,1275_neg,9830_neg,2650_pos,2260_pos,2540_pos,1112_neg,2590_neg,9415_neg,total_images_manual_count
recall_images_list,PROLIFIC_PID,condition,Older man in kitchen,Older man and woman couple,Cemetery,Book,Truck,Umbrella,Plate,Kittens,Mountain,Pizza,Bugs,Cigarettes,Toddler with ice cream,Baby in leaves,Baby and mom,Legs and snake,Two women in kitchen,Infirmed people,Total
"Pizza
Mom with baby
Kittens
Cigarettes
Bugs
Old man in kitchen
Truck
Older man and woman couple
Book",66465d688e90512d006edc84,control,1,1,,1,1,,,1,,1,1,1,,,1,,,,9
"Book
Umbrella
Old man in kitchen
Mom with baby
Old woman sitting at table holding coffee cup (I THINK there was another woman with her, but not sure)
Bugs
Infirmed people
Toddler with ice cream
Legs and snake",5e6bdd2a3ea572199bb7f6b6,expansive,1,,,1,,1,,,,,1,,1,,1,1,1,1,10
"Mountain
book
kittens
old man in kitchen
cigarettes
Mom with baby
Baby in leaves
plate
pizza
two women in kitchen",60fd588771ae861f9244f93d,limited,1,,,1,,,1,1,1,1,,1,,1,1,,1,,
"Mom with baby
plate
two women in kitchen
cigarettes
old man in kitchen
",66817654ce8b233327b047ab,control,1,,,,,,1,,,,,1,,,1,,1,,5
"Kittens
truck
mother and daughter
old man in kitchen
Older man and woman couple
infirmed people",691dd7e2bb36cc07679cd499,limited,1,1,,,1,,,1,,,,,,,1,,,1,6
"plate
older man and woman couple
old man in a kitchen
kittens
infirmed people
a book
a mountain
a baby
cigarette butts
bugs
",672adb2909ca72744f212a7d,limited,1,1,,1,,,1,1,1,,1,1,,1,,,,1,10
"An older couple with their faces close to each other
A mountain
Two roaches
An old man in a kitchen with a pot of food
A child and his mother
A young boy's face
A woman and another older woman in a kitchen
A book
A blue umbrella",5e29cc3230cf9d03580c34bf,control,1,1,,1,,1,,,1,,1,,1,,1,,1,,9
"Pizza
Goose Plate 
A man holding a pan of food 
A little boy
A mother and child 
An older couple
A commercial truck 
A lady in a chair with a snake in the grass",65c7e4fc097bd8b7a1d1db45,limited,1,1,,,1,,1,,,1,,,1,,1,1,,,8
"a book , woman holding a baby, older woman drinking tea, an older man",6719cbec85ea58d827948618,expansive,1,,,1,,,,,,,,,,,1,,1,,
"Umbrella
Child
Man
Truck",62a6c39ce82d993784c0b352,control,1,,,,1,1,,,,,,,1,,,,,,
"Men walking home from war with injuries
Man in the kitchen holding a pot in front of a small fridge
5 kittens
blue book
a small child with blue eyes
a below the knee picture with a woman wearing white tennis shoes
an elderly couple with their forheads touching each other
an elderly woman with probably her son holding her hand back from probably a hot cup
",66fa0c80835daf2b640a6711,limited,1,1,,1,,,,1,,,,,,1,,1,1,1,
"a truck
beetles
old man
lady on bench",5d6349209b22da000117b1bd,control,1,,,,1,,,,,,1,,,,,1,,,
"baby and parent
an old man holding something",667c6dc242e317dfe6794059,limited,1,,,,,,,,,,,,,,1,,,,
